Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Train F1,Test F1,Train Precision,Test Precision,Train Recall,Test Recall,Learning Rate
1,0.5140958423539491,0.40019498968265466,0.7631836649651005,0.9087840653387782,0.7670756443343072,0.9086868562838333,0.7672445940689843,0.9100649487452463,0.7671177826227715,0.9086264867900005,9.779754323328192e-06
2,0.3801520755109917,0.37426017099732667,0.9235128659235337,0.9362030169180765,0.9282485143197021,0.9361608173945134,0.9283469298977831,0.9369831593717621,0.9282634013241446,0.9360861238675169,9.140576474687263e-06
3,0.36565903304504693,0.36281361310608595,0.9386290238566517,0.9482040170014168,0.9434431022481873,0.9482026562850341,0.9434811863075562,0.9483648251969163,0.9434379590455535,0.9482648478960103,8.145033635316128e-06
4,0.3585186432719119,0.3593930956080254,0.9463589957287217,0.9517876489707475,0.9512093206713894,0.95178598455648,0.9513695850821361,0.9519764107055044,0.9512008905236351,0.9518529117343159,6.890576474687263e-06
5,0.3552794380416,0.35890283247999116,0.9497760183352433,0.9527460621718477,0.9546421601124879,0.952744360685263,0.9548786585983218,0.9527457787565964,0.9546317835380309,0.9527430617392751,5.5e-06
6,0.3539142131817839,0.36026929441228767,0.9513699343681633,0.9513709475789649,0.9562450081817018,0.951359940846758,0.9564744593195901,0.9520545329157748,0.9562381438162839,0.951488915425053,4.109423525312737e-06
7,0.35270108106993475,0.3573181709256487,0.9527554953641004,0.9549545795482957,0.9576376315604751,0.9549498071084463,0.9578703206986849,0.9553461103645778,0.9576282903509401,0.9550453479458814,2.8549663646838717e-06
8,0.35171799811115734,0.35733638658246575,0.9535784977601833,0.954537878156513,0.9584642692049798,0.9545376728314725,0.9587209876445884,0.9546121017367679,0.9584528598084507,0.9545816650603274,1.859423525312737e-06
9,0.35093112505529184,0.3569534150240113,0.9547140327117408,0.9544962080173348,0.9596057662853041,0.9544949134346732,0.9598702451103986,0.954665969862744,0.9595956084618213,0.9545584451450164,1.220245676671809e-06
10,0.3500682110587238,0.3568282826551448,0.9557662256485051,0.9554129510792566,0.9606639048016252,0.9554126534710461,0.9609317016617902,0.9554986341929401,0.960659582910367,0.9554594028640719,1e-06
